Film,Subs,Film-miller,Subs-miller,JID-Film,JID-Subs,PrevData (Jm-2),,ALIGNN-FF,Ref,Remarks,,,,,,,
Al(111),AlN(001),"""111""","""001""",816,39,2.66,,-0.387,https://www.sciencedirect.com/science/article/pii/S0927025615007326,page84,,,,,,,
MoS2(001),Al2O3(001),"""001""","""001""",664,32,0.48,,-0.14,https://aip.scitation.org/doi/pdf/10.1063/1.4928179,page2,,,,,,,
Cu(111),TiN(111),"""111""","""111""",867,14741,0.15,,-0.199,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
Al(111),TiN(111),"""111""","""111""",816,14741,1.8,,-0.34,https://link.springer.com/content/pdf/10.1557/JMR.2001.0247.pdf,,,,,,,,
C(001),BN(001),"""001""","""001""",667,688,0.22,,-0.065,,,,,,,,,
C(001),Ti(001),"""001""","""001""",667,14815,2.12,,x,,,,,,,,,
Cu(100),Cu2O(111),"""100""","""111""",867,1216,2.77,,2.6,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308,,,,,,,,
Cu(111),C(001),"""111""","""001""",867,48,0.394,,-0.08,https://www.sciencedirect.com/science/article/pii/S0039602818309671,,,,,,,,
Cu(111),Cu2O(111),"""111""","""111""",867,1216,2.77,,-0.41,https://journals.aps.org/prb/pdf/10.1103/PhysRevB.84.125308,,,,,,,,
